quote,author,emotion
Is there any purpose to wings that can't fly?,Minagi Tohno,general
There is nothing less amusing than destroying those who have no will to live.,Hibari Kyoya,general
We'll never win if we don't believe we can.,Daichi Sawamura,hope
"Such a cruel boy. Telling me to dream one more time. I thought I was satisfied because my dream had come true... And I'd told myself it was enough... Yet here you are, watering this withered heart again.",Kaori Miyazono,motivation
War does not determine who is right - only who is left.,Riza Hawkeye,general
It's impossible for humans to forget their emotions.,Wolfgang Grimmer,general
"With such nice weather, I start thinking about useless things much more than usual. Humans are free. Although we can’t fly through the skies all alone, if we can think it, we can do almost anything. We can sleep when we’re sleepy. We are free to start or stop anything whenever we wish. Of course, it is a bit hindered by common sense, moralities, and the rules of society. Walking nude out in the streets, stealing from the elderly, and even killing, we can do all of this as long as we throw out our morals. Which is why they drill these laws in our head when we are children. And yet, people still continue to fight, deceive, and steal from each other. And so, people suffer because they live. Even now, there are events of happiness and unhappiness going on all over the world. …What can we do to make everyone happy? Of course that’s impossible for me to know. If the answer to that could be found in the shallow wisdoms of a kid, wars would have stopped long ago. But I also dislike just leaving that problem up to society or the government. After all, a great person is just one who follows the popular will of the people. In this world, the essence of a frank honest human is just an idealization. I’m sure that there’s nothing that can make everyone happy. Happiness is relative, and that’s how people want it. Evil is also relative. Mothers can become demons when they do anything to protect their child. Yet it’s usually seen as admirable. But when a person does anything for the country he loves, wars break out. Isn't it all the same thing? No matter how much a person pretends to be good and kind, he will still have negative aspects. But nobody really tries to notice that fact. Why is that? They all try to place the blame on others, and never even consider the possibility that they themselves may have played part in the problem. Just what the heck am I thinking? The world isn't going to change no matter what I think. Then what should I be doing? I don’t really want to do anything. I don’t want to order nor trouble anyone. That’s just laziness, I guess. I don’t go to school nor do I work and I've been wasting my time away since noon. Look at me, talking about the freedom of humans when I’m just some suspicious punk in this town. In conclusion, I have nothing.",Masumi Seki,grief
"All this time, I've lived in hope of telling you how sorry I am, I've fought armies, just to have this chance, but now, there's nothing I can say.. That's good enough.",Lucy,hope
"Just what is right and what is wrong...? To begin with, just who is the enemy I must defeat?",Rentaro Satomi,general
"To ask is a moment's shame. Not to, lifelong.",Yotsugi Ononoki,general
"If you lose something, just build it again. And this time, with a greater care.",Yoshioka Futaba,love
"The piano is meant to be played like you're embracing it, right?",Kousei Arima,general
But still... Not trying to undo misunderstandings is the same as telling a lie.,Yotsugi Ononoki,wisdom
If my own happiness will lead the misfortune of others then being unhappy is probably the wisest choice. ,Rea Sanka,happiness
"We're all connected. Just like the notes are intermittently connected. It's shared by us all. Through music, with the people you know, with the people you don't know, with all the people in this world. ",Hiroko Seto,general
Human nature denies the past in order to justify the present. But do you believe there is anything in the present worth justifying?,Boogiepop,mindfulness
"Sometimes your biggest effort will be ignored, but your smallest mistake will be judged.",Kou Mabuchi,general
There's no such thing as a limit on being the best. You can always go for more. That's what it means to be human. No... That's what it means to be me.,Claire Stanfield,general
It's not just grief. There are as many emotions as there are people. The fragility of someone who lets their anger get the best of them... The strength to overcome fear because of love... You can't comprehend anything about them.,Chiyuki,grief
"Keep on living your life in such a way that love doesn't fade away. I shall work... so that love may shine brightly, even today.",Yoshino Yūsuke,motivation
You need three types of power to control the world. One is influence. One is wealth. The third is... force.,Ushiromiya George,general
Things learned as a child stay with you forever.,Cosette Sara,wisdom
Victory isn't something you are given. It is something you take.,Ushiromiya Battler,general
"There's no way someone who can't even protect himself can protect anyone else, is there?",Touka Kirishima,general
Do you know what the most primitive emotion people have is? It’s fear.,Nona,anxiety
"People aren't as complex as you think they are. They're simple, and they get sad or angry over simple things. That's how they are. They're quickly affected by the littlest things, and live without knowing where they're going to fall down. That's who people are!",Chiyuki,depression
"Only someone that's prepared to devote oneself to others' happiness, without caring about his own, is allowed to become a king.",Oomine Daiya,happiness
They say the temperature of tea and a women's heart are difficult in any age.,Ronove,resilience
"Country of birth, time period, parents, location... various factors make people's lives unequal from the very beginning. ",Death Parade,general
"Fortitude is about staying cool and calmly analyzing your opponent. Do you know why? It's to counter, to give back exactly what you got, to make them not want to take another pass at you, to make them cover their face in tears and snot and forget to wash it off, to make them want to rub their forehead on the ground and apologize over and over, to completely, perfectly, thoroughly beat them until they can't get up!",Ushiromiya George,mindfulness
"No matter how hard someone's heart is, if you keep on talking to them, little by little, it'll eventually start to crack! I believe it! I believe that useless effort doesn't exist in this world!",Ushiromiya Jessica,resilience
I was wrong. I wasn't eating ghouls. I'm the one who was being eaten.,Kaneki Ken,general
"When people have an overwhelming advantage, they sometimes take on a little risk to try and show off their superiority over the losers.",Ushiromiya Kyrie,general
"In the limited time we have between our births and our deaths, we live life with everything we've got.",Ushiromiya Battler,grief
Doesn't even think about giving up just because it's useless! The moment you give up is when your life ends.,Ushiromiya Jessica,mindfulness
People tend to push the pain they're burdened with onto other people.,Ushiromiya Ange,grief
"If you don't want to be betrayed anymore, then start by doubting the person you want to doubt the least.",Inspector Lunge,general
I want to break up while I can still say I love you.,Chihiro Shindou,love
Fighting without hope is no way to live. It's just a way to die.,Éclair Farron,hope
The moment between life and death is where a true man shows his color.,Shio Sakaki,grief
"Justice? Truth? More than anything else existing in this world, those things are a burden! The things that are needed are ""acting"" to deceive people and ""power"" to control others.",Natsu Tanimoto,wisdom
Human relationships are chemical reactions. If you have a reaction then you can never return back to your previous state of being.,Kaneki Ken,love
I don't intentionally ignore anyone. Their words simply don't resonate with me.,Asaba Yuki,general
Life is never fair. I'm sure you're well aware of that.,Decim,general
"Disrupt law and order, and you get punished for it. Isn't that how society works?",Monokuma,motivation
"When you feel your life's on the line, your true nature surfaces.",Shinichi Izumi,general
I have long forgotten how to laugh as if I were having fun.,Ciel Phantomhive,happiness
"No matter what you do, it's all futile in this world.",Shuntarou Chishiya,general
Shadow and light are two sides of the same coin... One cannot exist without another.,Princess Zelda,hope
"Anyone may claim that he will act in the direst times, yet only a brave man acts in times great and small.",Cloud Strife,general
"Those who know despair, once knew hope. Those who know loss, once knew love.",Ulquiorra Schiffer,grief
"Well, who you love depends on the person. Isn't everything fine as long as it's someone who's fun to be with? Being with someone doesn't require any permission as long as the two people accept each other. If you worry about your parents or your family, then you lose. Don't forget that. You can't go out with someone with incomplete feelings.",Ushiromiya Battler,anxiety
"Criticism of yourself as you're observed by others doesn't matter. If your existence is firmly acknowledged by you yourself, that's enough. If you can live with confidence in yourself, surely you can accept any kind of lifestyle.",Ushiromiya Ange,wisdom
Truth can change its form depending on the observer.,Ushiromiya Maria,wisdom
Those with talent who aren't aware of themselves cause pain for those who have none.,Fuyumi Irisu,grief
You have to fool your own people before you try to bluff the enemy.,Sakamoto Yuuji,general
"Human beings are cruel. Even though it's heartbreaking, I feel hungry. Even though it's painful, I feel sleepy. And, even though it's painful for me, I still eat and sleep peacefully. I can't forgive myself, and hence it becomes even more painful.",Asou Renji,grief
"To us, you are more valuable than any jewel. Would you be at ease if you left your most treasured valuable outside the bounds of your own home? A treasure is something you keep with you at all times. It is common sense.",Claude,general
Don't start thinking of killing just when the slightest thing doesn't go your way! How selfish are you!?,Hikawa Renko,mindfulness
"Now it’s not just your heart, but also your breathing, your brain, your nervous system, and everything else… See, the human body is in some way always moving from the time they were in their mother’s womb until the last moments of their life. Even when someone is asleep, fainted, or unconscious, their body never stops. In other words, the concept of stopping is precisely how humans are able to perceive death.",Crow,grief
"If you're at a loss for words, you don't have to force yourself. That in itself is a form of comfort.",Shouta Kazehaya,grief
"Right and wrong are not what separate us and our enemies, it's our perspectives that separate us. Both sides blame one another. There's no good or bad side, just two sides holding different views.",Squall Leonhart,general
Words aren't the only thing that tell people what you're thinking.,Tifa Lockhart,mindfulness
How do you prove that you exist...? Maybe we don't exist.,Vivi Ornitier,general
Why do people depend on each other? In the end you're on your own.,Squall Leonhart,general
It's not a question of can or can't. There are some things in life you just do.,Éclair Farron,general
"Maybe we'd fall short. Maybe we'd never even come close. But someone, someday would know we've tried.",Oerba Dia Vanille,general
"Regret... It's a heavy burden. You can't help wondering if maybe you chose the wrong path. Because once you've chosen, you can't change your mind.",Aries M,mindfulness
Fools set the rules in this world. Just take a look around. It's undeniable.,Noctis Lucis Caelum,general
It's troublesome if the villain doesn't show their evil. Villains are necessary to make knights into heroes.,Helbram,general
"People become themselves through their encounters. With different things, people, and emotions.",Joutarou Kawasumi,general
"Compared to one million proverbs, just one word from your heart can prove victorious!",Rabat,love
"Genius is 1% inspiration and 99% perspiration! In other words, believe in your inspiration and fight to the end! Perspiration without inspiration is worthless! No matter what others say ignore them! Trust your talent! Follow your own path!",Suiboku Kuroki,hope
"In ages past, dragons and men were one. Those who lusted after wealth chose the land and the sea and became men. Those who cherished freedom, became dragons and chose wind and fire.",Root,love
"Instead of picking fruit when it's green, you should wait, wait, and wait until it ripens. When they reach their peak, you pick them off! Even though the action itself is the same, they taste totally different.",Gasback,general
"Do you think you're the main character of some kind of sob story? You don't want to see people get hurt, so you cover your eyes and ears. Using your grief to hide the suffering is the easiest path to take. But I won't forgive you if you do. You're a Brave aren't you? Do you intend to live as someone who's always protected by others!? Fight! What will you solve by running away? The ability to keep going forward is strength as well! Physical strength is not all there is to it!",Anastasia,grief
I hate butterflies. I hate them for being pretty. I hate them for being easy to catch. And having pins stuck through their body and being turned into specimens is what I hate most.,Agatsuma Soubi,general
The only lucky item you'll need is already within - CONFIDENCE.,Midorima Shintarou,general
I believe being an author is a lonely line of work that asks you to pass through a narrow gate alone.,Kanako Sakurai,grief
"You’ll stumble many times in the future, but when you do, each time you’ll have more strength to bounce back.",Nobita Nobi,resilience
Destiny is what you create with your own will.,Shinguji Sakura,general
"Those who stand above others, must have noble ideals along with the most noble intentions. Anyone that cannot manage the will of the masses is not fit to serve as the leader. You say you're punishing someone for standing up to you? That kind of justice is a lie.",Silver Knight,general
Saying that people's personalities are products of their pasts isn't totally wrong. The way people live depends on their experiences.,Kirie Kanoe,wisdom
"At first, people only play as dots. But when lines of trust and friendship connect those dots, the lines become a circle and that circle is teamwork. As long as you keep playing as a dot, the others won't trust you either.",Major,motivation
You shouldn't mouth off when you don't know shit.,Shinichi Izumi,general
There are some scars that never fade.,Basara Tōjō,general
"If talking won't resolve matters, maybe inflicting some pain will.",Shinichi Izumi,grief
Shining brightly even for a split second is better than living a dull-grey life for eternity.,Jing,happiness
"People have many different ways of thinking. Even if you make a mistake, if you realize it was a mistake, You can always fix it. Then if you turn around, you will see the future. This must be realized by oneself.",Vash the Stampede,mindfulness
"At times like these, you shouldn't depend on people's advice, but think about it thoroughly by yourself and make a decision. Because there's no right answer when it comes to love. Whatever your answer is, if it's your own choice, then it's right.",Yuyuka Nekota,mindfulness
Don't judge me if you don't stand in my position.,Satsuki Shishio,general
Charm is reserved for dealing with people with more power than you.,Chihayafuru 2,general
"Weak in order to love, strong in order to protect, both in order to stay at your side. ",Elizabeth Midford,love
"Being free can mean many different things, but I think it's truest meaning is having a free heart that can't be bound by anything. So no matter what choice you make, as long as you remain who you are, you will forever be free.",Rei Ryugazaki,mindfulness
"If I die here, then I'm a man that could only make it this far.",Roronoa Zoro,general
"It's not just allies who support each other. From your enemies, you learn so much and gain so much. Until the day you meet again... Just knowing they exist helps you to withstand the loneliness. Those who compete, even if they're enemies, help each other out.",Hiroko Seto,wisdom
"We are searching for a place where we can live our lives in peaceful days. No wars, no stealing",Vash the Stampede,mindfulness
If you keep your vision clear you will see the future. What happens in our future is our own responsibility.,Rem Saverem,hope
"Although my heart may be weak, it’s not alone. It’s grom with each new experience. And it’s found a home with all the friends I’ve made. I’ve become a part of their heart, just as they’ve become part of mine. And if they think of me now and then, if they don’t forget me, then our hearts will be one. I don’t need a weapon. My friends are my power!",Sora,grief
"Facing irrationality doesn't mean not feeling fear, but rather possessing eyes that gaze upon fear and standing against the world.",Ganta Igarashi,anxiety
How will you live if every little thing from your memories always hurts you easily?,Daiki Mamura,grief
"""My heart controls the world."" But who can I control if I'm the only one living in this world?",Yuyuka Nekota,love
"To be sure, love can kill, but always remember, hate can never save. Never!",Odette Bouquet,love
Fear. That is what we live with. And we live it everyday. Only in death are we free of it.,Neji Hyuuga,grief
"The most annoying thing is that I can't do anything for you, even though you're crying.",Daiki Mamura,general
Human hearts are complicated mysteries.,Haqua du Lot Herminium,love
Books are information. And information that isn't correct is worthless.,Keima Katsuragi,general
The strong use their strength as their weapon. The weak use their weakness as their weapon.,Mizufa Trudy,resilience
"I feel no responsibility to comrades who've lost lives under my command. Because they chose to fight in each battle.. Just as I chose this. But if there is something that... I can do for them. Something I can do for the dead... Then it is to win! I must keep winning to attain my dream. The same one they clung to, and risked their lives for!! To realize my dream, I will perch on top of their corpses.. It is a blood-smeared dream, after all. I don't regret or feel guilty about it.. But to risk thousands of lives while never getting myself dirty. It's not a dream that can be so easily realized! ",Griffith,grief
"Thinking about whether it's because of jealousy or just saying it out loud by accident, aren't they all part of love? Love isn't always sweet.",Yuyuka Nekota,mindfulness
Luck of the draw isn’t about luck. Luck doesn’t decide a match!,Hidehiro Harada,general
Humans aren't made perfectly. Everyone lies. Even so... I've been careful not to tell lies that hurt others.,Light Yagami,grief
Some lies are necessary for giving children dreams.,Shimura Tae,motivation
What I desire is a heart... A heart that understands emotions.,Gowther,love
"I refuse to stand by and watch you give up. I won't lose you, I can't. We'll walk away from this battle together. ",Erza Scarlet,general
"Neither one nor the other, not a demon, but not a human either, no place no belong… I thought the only way was to carve out your own place, by force",Inuyasha,mindfulness
Even the strongest of opponents always has a weakness.,Itachi Uchiha,general
I know the loneliness of being a prisoner. I know the joy you feel when your friends come to rescue you and the fear of them being injured and defeated.,Rukia Kuchiki,anxiety
I do not allow anyone acting against me to look down upon me.,Akashi Seijuurou,general
Poetry over philosophy. Embroidery rather than cooking. Dance instead of chess. Be an unknowing angel. Every girl born in the country of roses is raised by these three words. ,Elizabeth Midford,wisdom
I'm the one who selfishly decides who's my friend and who's not.,Yuyuka Nekota,general
"People who use others are stupid, but people who are used are even more stupid.",Aoyagi Ritsuka,general
Have faith in your inspiration. Feel the imagination!,Gintoki Sakata,hope
"You can’t stop fighting to play. Once you've lost that drive, you’ll start to lose your edge.",Yuusei Nishida,grief
"That’s something you can’t know until you've tried it, and you still won’t understand after you play. I've been playing for 45 years and I still don’t understand. I've never been able to figure it out. That’s why I keep playing.",Hidehiro Harada,wisdom
Clouds... come here. Drops... fall here. Drive out the flames... tell him... that despite all of this... the world is still beautiful.,Nike Lemercier,motivation
It's not difficult to compose poetry. You just have to translate your feelings into meter.,Kanade Ōe,resilience
Humans only can reveal their true potential during an absolutely critical situation.,Anna Kyouyama,general
"Different people have different perspective. So, I won’t deny the fact that some people are annoyed with the way I am. In exchange for those negative feelings, I just want to be the person that I am in love with the most.",Yuuri Makita,love
"Over the course of several hundred years, I've seen many ages end, conflict between people, hatred, wicked hearts. I always have hope that the new age will purify all of that. How many times has it happened? People repeat themselves. They commit the same mistakes, over and over.... They haven't survived, not in true sense. The precious race called people has become extinct.",Zeref,love
Girls are more fragile than you think. They can be hurt by the smallest things.,Suzume Yosano,grief
"I’m a complete failure. At everything I do, I’m absolutely worthless. I know this, and yet I continue to burden the human race with my presence. Every day I rob the world of valuable air by breathing. I’m a thief, and I hate myself for it. I don’t deserve to exist. But even though I know it’s the right thing to do, I’m such a useless coward. I don’t even have the courage to jump!",Ritsu Sohma,resilience
"I'm not afraid of the times I can't see him. When I feel pain in my chest, my song grows... The scenery feels closer. The next time I see you... I will, once again, fall in love.",Nike Lemercier,grief
Watching messy troubles from the sidelines is a hobby of mine.,Tomoe,general
"The fun things, the painful things, the things that happened, the things we've cried about, the things we've smiled about, when we remember them, everything will be glittering.",Hirunaka no Ryuusei,grief
"Even if you lovingly collect every last piece of a shattered cup, pieces are still pieces. Once something breaks, it can never return.",Ryuuguu Rena,general
What you learn at your school is more important than where you go to school.,Mikoto Misaka,wisdom
"It doesn’t matter how much we see each other, but how much we think of each other.",Sora,mindfulness
"If you run now, you will be running for the rest of your life.",Reborn,general
"Then just become stronger. I have my ambition, you have your ambition too. Which means you should just keep walking forward towards that goal.",Monkey D. Luffy,motivation
You won’t know if you don’t give it a try.,Takeshi Yamamoto,general
"We have walked through the darkness of this world, that’s why we are able to see even a sliver of light.",Gaara,depression
"If you can no longer believe in the person you love, then test him until you are satisfied.",Bianchi,love
"They say that ill weeds grow apace, but... You know, the nice ones don't live long.",Yatori,general
"Whether I go or not, I'll die anyway. I have an organ more important than my heart. Although you can't see it, I feel it going through my head down to my feet, and I know it exists within me. It lets me stand on my feet, it lets me walk forward without trembling. If I stop here, I feel like it would break... My soul will break.",Gintoki Sakata,love
"All these things you guys seek....hard work, guts, faith....I'll crush them all.",Atsushi Murasakibara,motivation
I was too bent on fulfilling my objectives… I failed to see things from a larger perspective. I failed to build up a good relationship with them.,Yoshioka Futaba,resilience
"The more material you possess, the harder you'll feel the loss.",Arima Teppei,grief
"There is no telling what kind of pain will come  after me, but... if I stop believing because of that, if the hero should change, it'll turn into another story from the one my master left behind. Then it wont be Naruto! I can't write novels like my master did. That's why the sequel has to come from the life I live no matter how great the pain, I'll continue walking because that's who Naruto is!",Naruto Uzumaki,grief
"People only have substance within the memories of other people. And that's why there were all kinds of mes. There weren't a lot of mes per se, I was just inside all sorts of people, that's all.",Lain Iwakura,general
"Sometimes we women must fight too, don't underestimate us!",Gi-gan,general
"When I was little, I was teased because of my weight. I tried dieting, but diets always failed. Little by little I started feeling gloomy. I got to the point where I couldn't make friends, and I started hating myself more and more. I became completely unable to smile. I thought, no one in the world would ever like me the way I am now. But at the same time I also thought, if that's the way it is, then I should at least like myself.",Tsumugi Motohashi,resilience
I was only able to get back to being a real doctor by saving your life! I realized that human lives have equal value by saving you! Nobody has the right to take another's life! I've been living as a doctor with that engraved upon my heart for years!,Kenzo Tenma,love
"No one really starts out kind. All we know how to do at first is want. We want food, we want attention... It's just natural survival instinct, I guess... But kindness is something that we all have to learn as we go. It's something that grows and develops slowly over time... The same way our bodies do...",Honda Tohru,wisdom
"Humans have always spent a lot of time on love. I’m not too interested in karuta, but I’m willing to work hard for love.",Sumire Hanano,motivation
"Right, It's too late for doubts now. There is no returning from this place I've come to.",Inaho Kaizuka,general
"The rain, the wind, the sun... you bring them all with you. Every time our eyes meet. You bring the world to me.",Nike Lemercier,general
"If you have faith, your dreams will surely come true.",Katsura Kotarou,motivation
You wouldn't get an answer no matter how much you think about it. Love is not Japanese nor Math. It doesn't need thoughts of reasons. You will be aware of it when that person is next to you.,Yuyuka Nekota,mindfulness
"Life is an incessant series of problems... all difficult, with brutally limited choices... and a time limit.",Chapel the Evergreen,resilience
"I've been thinking... for a long while. For what purpose was I born into this world? Whenever I resolved one question, another would arise in its place. I sought the beginning. I sought the end. I've just been walking and walking, thinking all the while. Perhaps nothing will change, no matter how far I go. If I'm to stop my journey, that is fine, too. Even if I were informed that everything has reached its end, I'd just accept it. But even so, I found an answer to yet another of my questions today.",Tamura Reiko,mindfulness
"If you lose something big, that nothing can replace it... Then it’s okay if you have more than one, right? Even if the number is small, whether it’s 10 or 100, if you gather them up then you will have a reason to go on!",Yoshioka Futaba,depression
"Even if you're a main character, you can still die... I better be careful-ttebayo. ",Gintoki Sakata,love
"The feeling of not wanting to lose, everyone has it. If you find it unfair, you’ll have to work harder yourself.",Shuuko Murao,motivation
"No one can say they grew up in a sterile room, never failing or making mistakes. Life is an ongoing process of trial and error.",Sonozaki Mion,resilience
"I've no interest in a ""Reality"".",Keima Katsuragi,general
"Even if I'm an outsider, even if I'm hers for only a moment, I wanted to become someone special to her. Just by being together with me, just for a little while, I wanted her to be happy.",Daiki Mamura,happiness
"We can no longer go back though, I’m totally different from that person in the past, you too. That was just a brief reminiscing of our past, that’s all.",Kou Mabuchi,general
"The ""tsun"" personality is an armor that protects purity. An iron virgin.",Keima Katsuragi,general
"You're like a cat. If I get close, you'll ignore me and go far away. If I get hurt, you'll play around to share the pain.",Kousei Arima,grief
"There's only one world for us, and things in it are set up so that we can find happiness in it. ",Ryuuguu Rena,happiness
I'm only attracted to girls in games!! Reality is just a shitty game.,Keima Katsuragi,general
Love is the best way to fill a gap in the heart.,Elusia de Lute Ima,love
"Yes, I have no reason to take part in the Absurd and Unreasonable real world.",Keima Katsuragi,general
"A flower raised in a greenhouse is still beautiful, even though it knows no adversity. But a flower growing in the field that has braved wind, rain, cold, and heat possesses something more than just beauty. ",Ryuuguu Rena,general
"Because it has powers that surpass everything, a king must cut off his own desires and never use it.",Durandal Tobari Kumohira,general
"Songs are great. They reach people no matter how far they are. Even to people dear to you, who are no longer here.",Kamisama No Memochou,general
"To enjoy an ordinary life, you must constantly evolve. ",Izaya Orihara,happiness
"They come without asking, and then they leave just the same. But once you meet them, even if nobody ever knows it, that encounter will change your life for the better.  ",Takashi Natsume,hope
I do not think humans are foolish. I have respect for people who live fulfilled lives. ,Decim,mindfulness
"Whether we move forward or stop, we're going in different directions little by little.",Suzume Yosano,general
"I don't believe in destiny. I always thought that it was nothing more than an overlap of coincidences. But if a meeting changes from chance to inevitable, that's what we call destiny.",You Miyagi,mindfulness
Sometimes I think delinquents are people… Who still have hope that things still can get better if they just put up a SOS sign. But I don’t even have the will to lift that sign anymore.,Masamune Takano,mindfulness
There are some people who possess certain things that money cannot buy... as if it as as natural as breathing...,Ryūichirō Isaka,mindfulness
"I don’t know what you’re aiming at, but you can’t expect to be perfect right off the bat. You have to build up your confidence… by achieving small tasks one by one.",Masamune Takano,general
"If I give my best and am told that I’m useless, then that’s my own fault. But being considered useless, without having even tried, is something I can’t allow.",Ritsu Onodera,general
You're not the first person I went out with... But you're my first love.,Masamune Takano,love
Love in real life isn’t as smooth as in manga... ,Shōta Kisa,love
"When I’m shown something so pure and innocent, I’m forced to see the filthy part of myself even more and it pisses me off.",Masamune Takano,general
"Since then… I’ve started to think…about things with the worst case outcome first. By doing so, even if you did get hurt a little bit, it wouldn’t end up being a lasting wound.",Ritsu Onodera,grief
"My problem is probably that I don’t have any confidence about anything I do. Even if the thing I want most is right in front of me, I can’t help but imagine a future where I’m being rejected by it. I’m scared of getting hurt, so I run away from the people I love. What a good-for-nothing loser.",Shōta Kisa,grief
"I can’t shake the feeling that I’ve met you before, but I can’t remember where.",Masamune Takano,general
"Why do I always do this? I fall in love with someone, then I get all these and then I feel brokenhearted. And It's always my fault.",Shōta Kisa,grief
"God, my face hurts from forcing smiles all night...",Ritsu Onodera,grief
I knew that it was pointless to hope for anything. I was so apathetic because of this sort of upbringing.,Masamune Takano,hope
"If you don't feel anything for me, just leave me alone. I don't want your tepid kindness.",Suzume Yosano,grief
"When things change, isn't it better to get used to the new situation quickly? If that's the case, it's better to know what you have to do. Rejecting everything and doing things half-heartedly won't make it any easier. Hanging onto your pride will only weigh you down. So, to make life easier, sometimes it's best to go along with what other people want. As I said, it's just like the old saying: ""When in Rome, do as the Romans do"". Instead of others forcing it upon you, it's easier for you to want to do it yourself, right? You should try it, Mikoto. You'll be happier.",Tooru Kouno,love
"When you said that we were scary, that means deep down, you had started to care about us! The thought of losing someone again… That’s the scary part, right?",Yoshioka Futaba,mindfulness
"You all underestimate humans. Individually, they may appear weak, but that is not the case. What we need to recognize is that humans are a single life-form comprised of millions of individuals. Besides their individual brains, humans possess a different ""brain"" of enormous magnitude. The moment we act in opposition to that brain, we will lose.",Tamura Reiko,general
"An apple a day keeps any one away, if you throw it hard enough!",Marie Mjolnir,resilience
"People are mirrors. If you smile, a smile will be reflected.",Zeno,happiness
I'm pathetic. I was observing the world from a safe distance. I was just scared of being hurt. I was lonely.,Amano Yukiteru,grief
"You own the world, but you've never looked at any of it. What a waste. ",Nike Lemercier,general
"To me, death is not the scariest thing at all.",Mikan Sakura,grief
"We’re searching for a reason of existence. With our own strength, because maybe the truth is that there’s no reason for life from the very beginning. Everyone hopes and tries so hard to find a reason of existence. The reason of birth, of staying with someone, of existence, believing we have to find them all with our own hands. Like finding a place for ourselves in dreams, in jobs, in people. The reasons we conclude may be indefinite and fragile. We may lose it too, but even so, we want a reason. As long as I’m alive, I want it too. If possible, I want to find a reason of existence within a person, within someone.",Honda Tohru,motivation
"There are things that take a long time to acquire. Friends. Love. Really, nothing has been a waste.",Megumi Hanajima,love
"I won’t accept it! I want to have a choice, too! I don’t want to write poems about regret.",Sumire Hanano,general
Destiny is a mysterious thing. It lets people reach their intended destinations.,Iraha Lemercier,general
Any harm that comes to me because of you is harm that I need. I want to share your pain. So I want you to let me fight. With you.,Nike Lemercier,grief
"The world just exists to hurt people and to be conquered. To survive, you mow down your enemies and take what you want.",Livius Orvinus Ifrikia,grief
"You always seem to look back. The scenery in front of you, the people near you, don't you see it? Live right now. That's what life is.",Izumi Yukihira,general
"There will be some who give up because they are dissatisfied... But some feel unsettled and are lonely. So if... one day we could all laugh freely together... We, who are all in the same circumstances, can help each other... I think that will be more comforting than anything else and will also chase away loneliness.",Yuu Tobita,grief
"Work together with everyone, motivating one another...even though they may not be your close friends, you can still understand each another. I'm looking forward to bonding with more people.",Mikan Sakura,motivation
"Will you stay by my side? Will you watch as we uncover a harsh truth that was meant to remain buried, and share in the pain that comes with the act?",Shionji Yuuko,grief
I used to think that eating was only consuming needed nutrients. I never thought it could fill the emptiness in me.,Teito Klein,mindfulness
A light comes out of the darkness. A heart that makes a flower bloom in the wilderness journeys through the sky. Music changes the world.,Haruka Nanami,depression
"I know that I'm not alone, but I want to be strong even when I am.",Taichi Mashima,grief
It’s vulgar and foolish to spend all your time thinking about love!,Kanade Ōe,mindfulness
"Humans and spirits. We're indeed different beings, but that is why understanding each other is meaningful.",Tatara Phoron,wisdom
I don't need some ring or some throne! If it means that I won't lose you... I would throw everything away!,Livius Orvinus Ifrikia,general
What you need are feelings and experiences. The feelings of the person seeking the rain must be in concert with those of the person making it.,Nike Lemercier,wisdom
"Don't bother coming to the darkness that you don't need to see... I don't want to show you the darkness that doesn't belong to you... Don't let yourself be hurt so much anymore... Rather, let me be your strength.",Natsume Hyuuga,grief
Crying over ill luck won't do you any good. You must believe tomorrow will be better than today and smile.,Amane Rui,happiness
Songs move people's hearts and make them passionate.,Haruka Nanami,love
Those who aren't geniuses only have effort. All you can do is use effort to compensate for a deficiency of talent.,Kurusu Syo,general
"The society you all live in has long since turned into the Liar Game. Still, what all of you demonstrated through this game is that 'Believing' is by no means, an easy path to follow. Sometimes, taking it means allowing yourself be deceived or suffering heavy damage you will not ever recover from. And yet, 'Trust' born when you forget your personal interests and join forces to fight against the odds together holds tremendous power.",Artier,depression
Don't succumb to panic. Only those who see the bigger picture win.,Akiyama Shinichi,anxiety
"The question is what does it take to be the one in control? Money? Brains? Strategic Prowess? Of course, all three are very important. However, there is something that outshines them all and provides a faster and more effective way to victory. And that is... information. The one in possession of information will be able to easily become the ruler of the liar game.",Yokoya Norihiko,general
"A former teacher of mine, Okabe-sensei, was always saying this to me: 'To believe people is to doubt them.'... meaning if you keep doubting people and searching what's inside them, sooner or later you're bound to understand something about them. And when you do, you'll be able to entrust something to them. That is what it means to trust and believe.",Akiyama Shinichi,wisdom
"Accident or amnesia, you can't rewind your life and start again. If you struggle, you'll just hurt yourself, and the people around you.",Tada Banri,grief
Do you need a reason to not want to lose?,Shōyō Hinata,general
The most precious thing is different for every human. They resist and kill each other because of their difference. It has nothing to do with the inability to sense the other's most important thing.,Shijima Kurookano,general
It is a tasteless life if you don't have something you regret.,Inu X Boku SS,general
"Maybe everything you wish for won't become stars, but if you have a dream to believe in, they'll be thousands of the most glittering jewels in the night sky.",Ichinose Hayato,motivation
The beating of a heart is the first source of music!,Shining Saotome,love
"If we love someone, we need to tell them about it. That way, we'll feel relieved and a lot stronger.",Suzume Yosano,love
"I never knew until the first years came, that we all cared about different things.",Chihaya Ayase,love
I’ve been in your shoes. I was also given a chance. There’s no rush. You’ll get better very soon.,Tsutomu Komano,hope
